ra,ano_base,ano_alvo,nome,fase_num,idade,genero,ano_ingresso,inde,pedra,defasagem,iaa,ieg,ips,ipp,ida,ipv,ian,mat,por,ing,defasagem_next,inde_next,ian_next,pedra_next,y_risco,y_piora_defasagem,y_queda_inde,features_ausentes
RA-430,2022,2023,Aluno-430,2.0,13.0,M,2022,7.585,Ametista,-1,9.5,8.6,7.5,,8.5,6.611,5.0,7.5,9.5,,-1,7.146716667,5.0,Ametista,1,0,1,False
RA-432,2022,2023,Aluno-432,2.0,14.0,F,2019,6.34,Ágata,-2,10.0,6.8,5.0,,5.1,6.611,5.0,5.7,4.5,,-2,6.850183333,5.0,Ágata,1,0,0,False
RA-432,2023,2024,Aluno-432,3.0,,F,2019,6.850183333,Ágata,-2,8.8,9.0,2.52,7.8125,5.2,8.0425,5.0,5.0,6.3,4.2,-1,7.167975,5.0,Ametista,1,0,0,False
RA-433,2022,2023,Aluno-433,2.0,12.0,M,2022,5.557,Quartzo,-1,8.5,7.3,5.0,,2.6,5.778,5.0,2.2,3.0,,-1,6.5982,5.0,Ágata,1,0,0,False
RA-433,2023,2024,Aluno-433,2.0,,M,2022,6.5982,Ágata,-1,8.5,7.2,7.52,5.833333333,4.8,7.613333333,5.0,1.8,7.7,,0,7.218157142866668,10.0,Ametista,0,0,0,False
RA-434,2022,2023,Aluno-434,2.0,11.0,M,2022,7.403,Ametista,0,9.0,8.1,7.5,,5.7,6.778,10.0,4.8,6.5,,-1,7.069766667,5.0,Ametista,1,1,1,False
RA-434,2023,2024,Aluno-434,2.0,12.0,M,2022,7.069766667,Ametista,-1,6.3,8.0,7.52,7.5,6.6,7.613333333,5.0,5.2,8.0,,0,6.610947619100001,10.0,Ágata,0,0,1,False
RA-436,2022,2023,Aluno-436,2.0,11.0,M,2022,6.687,Ágata,0,9.5,8.1,7.5,,2.0,6.611,10.0,4.0,0.0,,-1,5.322366667,5.0,Quartzo,1,1,1,False
RA-437,2022,2023,Aluno-437,2.0,13.0,M,2022,6.875,Ágata,-1,8.5,8.3,7.5,,5.8,6.611,5.0,6.0,5.5,,-2,6.947366667,5.0,Ágata,1,1,0,False
RA-438,2022,2023,Aluno-438,2.0,10.0,M,2022,7.764,Ametista,0,8.0,8.7,7.5,,7.3,6.889,10.0,6.5,8.0,,0,6.9883,10.0,Ágata,0,0,1,False
RA-438,2023,2024,Aluno-438,2.0,,M,2022,6.9883,Ágata,0,6.9,7.5,6.26,6.458333333,5.4,7.223333333,10.0,3.5,7.3,,-1,7.930283695700001,5.0,Ametista,1,1,0,False
RA-44,2022,2023,Aluno-44,5.0,17.0,F,2021,5.542,Quartzo,-2,5.0,5.9,7.5,,3.0,7.292,5.0,2.3,3.5,3.2,-2,6.258333333,5.0,Ágata,1,0,0,False
RA-440,2022,2023,Aluno-440,2.0,11.0,M,2022,7.329,Ametista,0,9.5,9.0,6.9,,5.5,5.833,10.0,6.0,5.0,,0,6.989208333,10.0,Ágata,0,0,1,False
RA-442,2022,2023,Aluno-442,2.0,11.0,F,2022,8.226,Topázio,0,10.0,8.2,7.5,,7.5,8.222,10.0,9.0,6.0,,0,6.814166667,10.0,Ágata,0,0,1,False
RA-442,2023,2024,Aluno-442,3.0,,F,2022,6.814166667,Ágata,0,0.0,7.6,7.52,7.5,5.8,8.1275,10.0,6.7,6.5,4.3,1,6.905439215666667,10.0,Ágata,0,0,0,False
RA-443,2022,2023,Aluno-443,2.0,13.0,F,2019,7.482,Ametista,-1,9.0,9.1,7.5,,5.6,8.5,5.0,8.0,3.2,,-1,6.895508333,5.0,Ágata,1,0,1,False
RA-444,2022,2023,Aluno-444,2.0,11.0,M,2018,6.665,Ágata,0,9.0,7.2,5.0,,3.1,7.778,10.0,1.5,4.7,,1,5.958791667,10.0,Quartzo,0,0,1,False
RA-444,2023,2024,Aluno-444,3.0,11.0,M,2018,5.958791667,Quartzo,1,0.0,7.9,5.0,6.40625,4.7,6.4575,10.0,4.7,5.8,3.7,-1,5.410188638266668,5.0,Quartzo,1,1,1,False
RA-445,2022,2023,Aluno-445,2.0,12.0,M,2022,6.924,Ágata,-1,9.0,9.4,7.5,,3.8,7.5,5.0,0.0,7.5,,-1,7.9087,5.0,Ametista,1,0,0,False
RA-445,2023,2024,Aluno-445,2.0,13.0,M,2022,7.9087,Ametista,-1,8.0,8.8,6.89,8.541666667,8.4,8.176666667,5.0,7.7,9.0,,0,7.3416246032,10.0,Ametista,0,0,1,False
RA-449,2022,2023,Aluno-449,2.0,12.0,F,2022,6.143,Ágata,-1,0.0,6.0,7.5,,7.0,8.111,5.0,6.0,8.0,,0,7.396508333,10.0,Ametista,0,0,0,False
RA-45,2022,2023,Aluno-45,5.0,15.0,F,2019,7.591,Ametista,0,7.9,8.9,5.6,,6.8,7.417,10.0,6.3,5.2,8.8,0,8.303591667,10.0,Topázio,0,0,0,False
RA-45,2023,2024,Aluno-45,6.0,,F,2019,8.303591667,Topázio,0,7.1,9.6,6.26,8.28125,7.9,8.1725,10.0,7.8,6.3,9.7,0,8.743476190400001,10.0,Topázio,0,0,0,False
RA-450,2022,2023,Aluno-450,2.0,13.0,M,2021,7.843,Ametista,-1,10.0,9.1,7.5,,7.5,8.111,5.0,6.8,8.2,,-1,6.819625,5.0,Ágata,1,0,1,False
RA-450,2023,2024,Aluno-450,3.0,14.0,M,2021,6.819625,Ágata,-1,9.6,8.4,2.52,7.65625,5.4,7.9175,5.0,7.0,6.5,2.7,-1,7.526188206666666,5.0,Ametista,1,0,0,False
RA-451,2022,2023,Aluno-451,2.0,13.0,F,2019,6.434,Ágata,-1,9.0,6.0,6.3,,6.1,6.889,5.0,3.1,9.2,,-2,8.386033333,5.0,Topázio,1,1,0,False
RA-454,2022,2023,Aluno-454,2.0,14.0,M,2018,5.561,Quartzo,-2,9.5,8.6,5.0,,2.3,5.444,5.0,0.0,4.7,,-2,4.603416667,5.0,Quartzo,1,0,1,False
RA-454,2023,2024,Aluno-454,3.0,15.0,M,2018,4.603416667,Quartzo,-2,0.0,7.5,5.0,4.6875,2.6,5.54,5.0,4.2,1.2,2.5,-2,5.852294346966668,5.0,Quartzo,1,0,0,False
RA-456,2022,2023,Aluno-456,2.0,12.0,F,2022,7.193,Ametista,-1,6.4,8.2,6.3,,7.3,8.389,5.0,6.0,8.7,,-1,7.518,5.0,Ametista,1,0,0,False
RA-456,2023,2024,Aluno-456,2.0,12.0,F,2022,7.518,Ametista,-1,0.0,8.3,4.39,9.583333333,9.9,9.953333333,5.0,9.7,10.0,,0,8.331124561366668,10.0,Topázio,0,0,0,False
RA-457,2022,2023,Aluno-457,2.0,12.0,F,2022,7.68,Ametista,-1,8.0,8.8,7.5,,8.5,7.667,5.0,7.0,10.0,,0,8.256833333,10.0,Topázio,0,0,0,False
RA-457,2023,2024,Aluno-457,3.0,13.0,F,2022,8.256833333,Topázio,0,7.5,8.6,7.52,8.125,8.1,8.045,10.0,6.7,8.5,9.0,1,8.5892756038,10.0,Topázio,0,0,0,False
RA-458,2022,2023,Aluno-458,2.0,13.0,M,2019,6.512,Ágata,-1,8.0,7.7,7.5,,5.6,5.833,5.0,4.7,6.5,,-1,6.312083333,5.0,Ágata,1,0,1,False
RA-458,2023,2024,Aluno-458,3.0,,M,2019,6.312083333,Ágata,-1,9.6,6.9,7.52,7.1875,3.8,6.2475,5.0,4.3,4.8,2.2,-1,5.680161507933333,5.0,Quartzo,1,0,1,False
RA-459,2022,2023,Aluno-459,2.0,12.0,M,2019,7.28,Ametista,-1,7.0,9.1,8.1,,7.3,7.222,5.0,5.3,9.2,,0,8.240016667,10.0,Topázio,0,0,0,False
RA-459,2023,2024,Aluno-459,3.0,13.0,M,2019,8.240016667,Topázio,0,6.7,9.3,7.52,7.1875,8.3,7.88,10.0,8.3,9.2,7.5,0,7.233804589400001,10.0,Ametista,0,0,1,False
RA-46,2022,2023,Aluno-46,5.0,17.0,F,2022,6.048,Ágata,-2,8.8,8.4,6.3,,2.1,7.083,5.0,2.8,2.8,0.7,-3,5.545383333,2.5,Quartzo,1,1,1,False
RA-461,2022,2023,Aluno-461,2.0,12.0,F,2018,5.451,Quartzo,-1,0.0,6.7,7.5,,3.8,7.222,5.0,1.5,6.2,,-1,7.2379,5.0,Ametista,1,0,0,False
RA-461,2023,2024,Aluno-461,2.0,12.0,F,2018,7.2379,Ametista,-1,7.3,7.9,3.77,8.541666667,7.4,8.616666667,5.0,5.7,9.0,,0,7.5447559291,10.0,Ametista,0,0,0,False
RA-462,2022,2023,Aluno-462,2.0,14.0,M,2022,6.626,Ágata,-2,10.0,8.5,7.5,,3.6,6.778,5.0,2.0,5.2,,-2,6.2267,5.0,Ágata,1,0,1,False
RA-463,2022,2023,Aluno-463,2.0,12.0,F,2020,6.41,Ágata,-1,10.0,7.8,7.5,,2.5,7.389,5.0,2.0,3.0,,0,6.382383333,10.0,Ágata,0,0,1,False
RA-464,2022,2023,Aluno-464,2.0,13.0,F,2022,6.745,Ágata,-1,7.5,8.0,7.5,,4.8,7.722,5.0,2.7,7.0,,-1,6.081675,5.0,Ágata,1,0,1,False
RA-464,2023,2024,Aluno-464,3.0,,F,2022,6.081675,Ágata,-1,9.2,7.7,2.52,7.96875,3.0,7.38,5.0,4.8,3.7,0.5,-1,6.872009064333334,5.0,Ágata,1,0,0,False
RA-465,2022,2023,Aluno-465,2.0,11.0,M,2019,8.012,Ametista,0,8.0,7.9,7.5,,7.8,8.444,10.0,9.3,6.3,,0,8.012875,10.0,Topázio,0,0,0,False
RA-466,2022,2023,Aluno-466,2.0,13.0,M,2022,6.826,Ágata,-1,8.5,9.7,7.5,,3.3,7.556,5.0,0.5,6.0,,-2,6.595533333,5.0,Ágata,1,1,1,False
RA-466,2023,2024,Aluno-466,2.0,14.0,M,2022,6.595533333,Ágata,-2,9.5,7.6,6.89,6.25,4.5,7.056666667,5.0,2.5,6.5,,-1,6.778749122800001,5.0,Ágata,1,0,0,False
RA-467,2022,2023,Aluno-467,2.0,13.0,F,2022,6.38,Ágata,-1,5.8,8.4,5.0,,5.5,7.111,5.0,5.0,6.0,,-1,6.552916667,5.0,Ágata,1,0,0,False
RA-467,2023,2024,Aluno-467,3.0,,F,2022,6.552916667,Ágata,-1,6.3,9.2,3.14,7.1875,5.2,7.5425,5.0,6.0,6.0,3.7,0,7.729811842133333,10.0,Ametista,0,0,0,False
